iter	Passed	Remaining
395	6973	1831
396	6994	1814
397	7016	1798
398	7040	1782
399	7063	1765
400	7081	1748
401	7099	1730
402	7116	1713
403	7134	1695
404	7158	1679
405	7176	1661
406	7193	1643
407	7208	1625
408	7225	1607
409	7241	1589
410	7260	1572
411	7277	1554
412	7292	1536
413	7309	1518
414	7325	1500
415	7340	1482
416	7359	1464
417	7376	1446
418	7391	1428
419	7410	1411
420	7425	1393
421	7440	1375
422	7457	1357
423	7473	1339
424	7488	1321
425	7506	1303
426	7522	1286
427	7538	1268
428	7554	1250
429	7570	1232
430	7587	1214
431	7603	1196
432	7619	1179
433	7635	1161
434	7653	1143
435	7671	1126
436	7688	1108
437	7706	1090
438	7721	1072
439	7738	1055
440	7755	1037
441	7772	1019
442	7787	1002
443	7802	984
444	7818	966
445	7834	948
446	7851	930
447	7866	913
448	7883	895
449	7900	877
450	7916	860
451	7931	842
452	7948	824
453	7965	807
454	7984	789
455	8000	772
456	8016	754
457	8032	736
458	8050	719
459	8068	701
460	8085	684
461	8102	666
462	8118	648
463	8135	631
464	8151	613
465	8168	595
466	8185	578
467	8203	560
468	8220	543
469	8238	525
470	8254	508
471	8272	490
472	8288	473
473	8303	455
474	8320	437
475	8336	420
476	8353	402
477	8372	385
478	8387	367
479	8405	350
480	8422	332
481	8438	315
482	8456	297
483	8474	280
484	8491	262
485	8507	245
486	8523	227
487	8539	209
488	8558	192
489	8573	174
490	8590	157
491	8608	139
492	8623	122
493	8639	104
494	8657	87
495	8672	69
496	8688	52
497	8705	34
498	8721	17
499	8737	0
