iter	Logloss
0	0.5851667595
1	0.5052550784
2	0.4419088371
3	0.354358025
4	0.323476929
5	0.3040469372
6	0.2857412067
7	0.2699618521
8	0.2559724738
9	0.2454570255
10	0.2371643812
11	0.2299526457
12	0.2094254187
13	0.2019876675
14	0.195694731
15	0.1904542145
16	0.186622303
17	0.1803274917
18	0.1781024334
19	0.1731302189
20	0.1674288564
21	0.1652466217
22	0.1627611592
23	0.1604559434
24	0.1584582828
25	0.1551583684
26	0.1541882915
27	0.151745754
28	0.1480732134
29	0.1464263548
30	0.143804929
31	0.1425681295
32	0.1392806484
33	0.1370563722
34	0.1366287317
35	0.1355558385
36	0.1343463516
37	0.1329974166
38	0.1319146256
39	0.1313418743
40	0.130391172
41	0.129450346
42	0.1284554203
43	0.1278731558
44	0.1271283954
45	0.1266132248
46	0.1254947772
47	0.1247073907
48	0.1237731043
49	0.1222124359
50	0.121149177
51	0.1204308265
52	0.1198618366
53	0.1188101077
54	0.1183587171
55	0.1165380966
56	0.1154764892
57	0.1146082031
58	0.114272233
59	0.1118075487
60	0.1112123131
61	0.1107934933
62	0.1104351174
63	0.1099341091
64	0.1094380557
65	0.1091942939
66	0.1086396146
67	0.1084135476
68	0.1079914864
69	0.1074586658
70	0.1072097838
71	0.1066527226
72	0.1063586476
73	0.1058807958
74	0.1054851038
75	0.1051726297
76	0.1046436497
77	0.104174965
78	0.1035766853
79	0.1028454672
80	0.1025852251
81	0.1022561601
82	0.1019900036
83	0.1000546858
84	0.09986186712
85	0.09925459151
86	0.09908789419
87	0.09887046311
88	0.09866615744
89	0.09833552543
90	0.09809093867
91	0.0976427972
92	0.0973568229
93	0.09705419296
94	0.09639216172
95	0.09619354924
96	0.09608346349
97	0.09569451086
98	0.09538491111
99	0.09493427743
100	0.09437301531
101	0.09410125438
102	0.09389894928
103	0.09375279555
104	0.0933920059
105	0.09308245609
106	0.09268196726
107	0.09234258128
108	0.09218455619
109	0.09204782193
110	0.09155019741
111	0.0912907721
112	0.09101539328
113	0.09064218441
114	0.09014110254
115	0.0896681807
116	0.0891603717
117	0.08899965908
118	0.08867894077
119	0.08853031518
120	0.0877336309
121	0.08697148198
122	0.08679325919
123	0.08662257146
124	0.08637135597
125	0.0852983784
126	0.08507351768
127	0.08470030549
128	0.08457138633
129	0.08437545435
130	0.08419294964
131	0.08298444119
132	0.08275541545
133	0.08259316356
134	0.0817982701
135	0.08162573865
136	0.08128152585
137	0.08111005795
138	0.08089466702
139	0.08061929263
140	0.08011806723
141	0.07998996931
142	0.07972396151
143	0.07961154262
144	0.07884947434
145	0.07867525084
146	0.07853626705
147	0.07844728495
148	0.07832330248
149	0.07798317516
150	0.07779096466
151	0.07760076582
152	0.07750271604
153	0.07731792259
154	0.07714539114
155	0.07682448307
156	0.07665128131
157	0.07646877956
158	0.07638005012
159	0.07606099649
160	0.07591719957
161	0.07579756597
162	0.07539455867
163	0.07529564363
164	0.07508862157
165	0.07494844218
166	0.07482674993
167	0.07472528091
